,comment,clean_text,sentimen
183,"Inget kawan2, jepang itu nipu ga cuma harga, tapi kualitas.

 Toyota, daihatsu, honda terlibat skandal penipuan crash test terbesar di dunia, barang murahan dipalsukan datanya. 

Di indonesia astra dan atpm jepang menutupi kebobrokan ini, karena memang bobrok jg.",kawan jepang nipu harga kualitas toyota daihatsu honda libat skandal tipu crash test besar dunia barang murah palsu data indonesia astra atpm jepang tutup bobrok bobrok,Negatif
184,"Inget kawan2, pabrikan jepang toyota, daihatsu, honda kena skandal pemalsuan crash test yg dilakukan sejak lama dan terungkap di 2023-2024.

Mobil murahan, tidak aman dan mahal

Di indonesia mereka dilindungi mafia macam astra dan atpm2 jepang lainnya. Padahal sama2 bobrok kualitasnya.

Just your info, temen pernah kerja di astra dan akui selama laku dan ga dikomplain gass terus bikin yg murahan, toh orang indonesia nurut2 aja

Astra : kasus honda beat yg patah body, kualitas mobil kaleng2",kawan pabrikan jepang toyota daihatsu honda kena skandal palsu crash test ungkap mobil murah aman mahal indonesia lindung mafia astra atpm jepang bobrok kualitas just your informasi temen kerja astra aku laku komplain gass bikin murah orang indonesia nurut astra honda beat patah body kualitas mobil kaleng,Negatif
185,"China leader jg di fully autonom car, dengan LIDAR tonjolan diatas, seperti BYD yangwang U8 di GIIAS.   Jauh lebih advance dibandingkan ADAS biasa. Ada integrated Nvidia GPU untuk offline AI processing 

I'm an engineer, saya tau apa yg sudah saya sampaikan diatas.",china leader fully autonom car lidar tonjol atas byd yangwang giias advance banding adas integrated nvidia gpu offline ai processing i m an engineer tau atas,Netral
186,"​ @Goldrig baca tulisan ente ""Jepang negara keparat yg menipu kita dgn mobil murahan..."" Udah keliatan fansboy produk cina. 

Cina boleh aja unggul dgn EV mereka tapi bukan berarti ente bebas merendahkan & menuduh produsen negara lain jadi negara penipu... Kocak 😂",goldrig baca tulis ente jepang negara keparat tipu mobil murah fansboy produk cina cina unggul ev ente bebas rendah tuduh produsen negara negara tipu kocak,Negatif
187,"Gw barusan ke GIIAS, harus diakui mobil china skrg jauh lebih baik secara desain, spek & price. Soal reliability nya gak tau, belum teruji disini. Tp harus diakui produk2 china terutama mobil EV udah jauh diatas jepang. Perusahaan jepang gak mau bikin EV karena ekosistem bisnis mobil ICE nya bisa bangkrut. Bayangkan di indonesia anak2 perusahaan astra yg bikin komponen ice kayak blok mesin, radiator, perusahaan pelumas mesin dll bakal tutup pabrik nya karena jumlah komponen di mobil listrik bisa berkurang 40% dari mobil ice. Jd wajar skrg jepang kalah soal mobil EV. Akhirnya barusan gw spk byd seal yg build quality & spec nya keren bgt",barusan giias aku mobil china desain spek harga tahan uji nya tau uji aku produk china mobil ev atas jepang usaha jepang bikin ev ekosistem bisnis mobil ice nya bangkrut bayang indonesia anak usaha astra bikin komponen ice blok mesin radiator usaha lumas mesin lain tutup pabrik nya komponen mobil listrik kurang mobil ice wajar jepang kalah mobil ev barusan spk byd seal build kualitas spec nya keren banget,Negatif
188,"​@arifbudiono3140  congrats brother, nice choice milih BYD Seal.

Di china, taxi BYD 2010an masih ada, di bluebird dr 2016  sudah 800ribu km sampe skrng masih sehat. Very reliable

2500 cycle count untuk LFP ke 90% capacity

2500 × 500km/cycle = 1.250.000 km

1.250.000km / 20.000km(per tahun) = 62.5 tahun 

62.5 tahun itu mobil udah keburu masuk museum.",arifbudiono ucap selamat brother nice choice milih byd seal china taxi byd an bluebird ribu sehat very reliable cycle count lfp capacity cycle mobil keburu masuk museum,Positif
189,"Di india ertiga di rebadge jadi toyota rumion
Inova zenix rebadge suzuki invicto
Trus mau bilang desainnya jelek ???
Gini deh plat bodi T,D,M sama H adu tebel deh sama suzuki di type yang sama ya",india ertiga rebadge toyota rumion inova zenix rebadge suzuki invicto bilang desain jelek deh plat bodi t d m h adu tebal deh suzuki type ya,Negatif
190," @aditgemstone7069  be smart, konteksnya bukan bagus or jelek, tapi ""bantai china"". Kira2 make sense ga?

Note: saya pernah punya ertiga jg",aditgemstone be smart konteks bagus or jelek bantai china pakai sense note ertiga,Negatif
191,telah pasti ketinggalan lah jepang kerjasama sama ........... maka harus bensin atawa hybrid (bensin juga)..maka hybrid2 an juga 1-2 kwh agar tetap minum bensin banyak..,tinggal jepang kerjasama bensin atawa hybrid bensin hybrid an kwh minum bensin,Netral
192,bensin vs ev bak sms vs wa..,bensin vs ev bak sms vs wa,Netral
193," @Samuel-ft9hq  hahaha, analoginya masuk bgt",samuel ft hq hahaha analogi masuk banget,Netral
194,"2025 produksi, konsep ini udah dari tahun lalu tapi baru dibawa skg ke giias aja (bingung kali bawa apa lagi..)",produksi konsep bawa skg giias bingung kali bawa,Negatif
195,​ @carmudiID  klu semua spek dan aslinya seperti tampilan ini baru wah.,carmudiid spek asli tampil,Netral
196,3:16 biasanya sih gituu,sih gituu,Netral
197,Berharap harga nya terjangkau,harap harga nya jangkau,Netral
198,"Siaap, nggak di giias deh tapi full banget soalnya 😅",siaap giias deh full banget,Netral
199,kayak xforce perasaan😅,xforce asa,Netral
200,Jempol buat suzuki,jempol suzuki,Netral
201,"PERTAMA
Merasa cocok Pakai Suzuki",cocok pakai suzuki,Positif
202,Wkwkwk suzuki 😅,wkwkwk suzuki,Netral
203,Selalu pertama buat suzuki,suzuki,Netral
204,Pasti kemahalan ini bagusan beli Neta v ll lebih lengkap,mahal bagus beli neta v ll lengkap,Netral
205,Kedua build quality Suzuki terbaik..🎉,build kualitas suzuki baik,Positif
206,"Bener sih, suzuki bener2 underdog.. Padahal dari kualitas mobil, pelayanan sama sparepart dan harga semuanya selalu bagus..",bener sih suzuki bener underdog kualitas mobil layan sparepart harga bagus,Positif
207,Mantaps,mantap,Positif
