instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
237,2011-08-25,fall,2011,Aug,No,Thr,Yes,Moderate,28.0,32.0,77.0,14.0,435,3107,3542,25
238,2011-08-26,fall,2011,Aug,No,Fri,Yes,Normal,29.0,33.0,76.0,6.0,768,3893,4661,26
239,2011-08-27,fall,2011,Aug,No,Sat,No,Moderate,28.0,32.0,85.0,25.0,226,889,1115,27
240,2011-08-28,fall,2011,Aug,No,Sun,No,Normal,29.0,32.0,56.0,20.0,1415,2919,4334,28
241,2011-08-29,fall,2011,Aug,No,Mon,Yes,Normal,26.0,30.0,55.0,11.0,729,3905,4634,29
242,2011-08-30,fall,2011,Aug,No,Tue,Yes,Normal,26.0,30.0,55.0,8.0,775,4429,5204,30
243,2011-08-31,fall,2011,Aug,No,Wed,Yes,Normal,27.0,31.0,60.0,6.0,688,4370,5058,31
244,2011-09-01,fall,2011,Sep,No,Thr,Yes,Normal,27.0,31.0,64.0,10.0,783,4332,5115,01
245,2011-09-02,fall,2011,Sep,No,Fri,Yes,Moderate,26.0,30.0,73.0,9.0,875,3852,4727,02
246,2011-09-03,fall,2011,Sep,No,Sat,No,Normal,27.0,32.0,72.0,12.0,1935,2549,4484,03
247,2011-09-04,fall,2011,Sep,No,Sun,No,Normal,29.0,33.0,74.0,14.0,2521,2419,4940,04
248,2011-09-05,fall,2011,Sep,Yes,Mon,No,Moderate,28.0,31.0,79.0,14.0,1236,2115,3351,05
249,2011-09-06,fall,2011,Sep,No,Tue,Yes,Caution,22.0,26.0,89.0,23.0,204,2506,2710,06
250,2011-09-07,fall,2011,Sep,No,Wed,Yes,Caution,25.0,27.0,92.0,7.0,118,1878,1996,07
251,2011-09-08,fall,2011,Sep,No,Thr,Yes,Caution,26.0,28.0,94.0,13.0,153,1689,1842,08
252,2011-09-09,fall,2011,Sep,No,Fri,Yes,Moderate,27.0,29.0,90.0,8.0,417,3127,3544,09
253,2011-09-10,fall,2011,Sep,No,Sat,No,Normal,27.0,30.0,75.0,10.0,1750,3595,5345,10
254,2011-09-11,fall,2011,Sep,No,Sun,No,Normal,27.0,30.0,71.0,8.0,1633,3413,5046,11
255,2011-09-12,fall,2011,Sep,No,Mon,Yes,Normal,26.0,30.0,69.0,6.0,690,4023,4713,12
256,2011-09-13,fall,2011,Sep,No,Tue,Yes,Normal,27.0,30.0,71.0,10.0,701,4062,4763,13
257,2011-09-14,fall,2011,Sep,No,Wed,Yes,Normal,28.0,31.0,70.0,11.0,647,4138,4785,14
258,2011-09-15,fall,2011,Sep,No,Thr,Yes,Moderate,24.0,28.0,71.0,18.0,428,3231,3659,15
259,2011-09-16,fall,2011,Sep,No,Fri,Yes,Moderate,19.0,23.0,59.0,11.0,742,4018,4760,16
260,2011-09-17,fall,2011,Sep,No,Sat,No,Moderate,20.0,24.0,72.0,13.0,1434,3077,4511,17
261,2011-09-18,fall,2011,Sep,No,Sun,No,Normal,21.0,25.0,70.0,12.0,1353,2921,4274,18
262,2011-09-19,fall,2011,Sep,No,Mon,Yes,Moderate,23.0,26.0,69.0,10.0,691,3848,4539,19
263,2011-09-20,fall,2011,Sep,No,Tue,Yes,Moderate,23.0,27.0,88.0,9.0,438,3203,3641,20
264,2011-09-21,fall,2011,Sep,No,Wed,Yes,Moderate,24.0,28.0,90.0,6.0,539,3813,4352,21
265,2011-09-22,fall,2011,Sep,No,Thr,Yes,Moderate,26.0,28.0,90.0,9.0,555,4240,4795,22
266,2011-09-23,winter,2011,Sep,No,Fri,Yes,Moderate,25.0,26.0,97.0,5.0,258,2137,2395,23
267,2011-09-24,winter,2011,Sep,No,Sat,No,Moderate,25.0,28.0,86.0,5.0,1776,3647,5423,24
268,2011-09-25,winter,2011,Sep,No,Sun,No,Moderate,26.0,29.0,84.0,3.0,1544,3466,5010,25
269,2011-09-26,winter,2011,Sep,No,Mon,Yes,Moderate,27.0,29.0,85.0,7.0,684,3946,4630,26
270,2011-09-27,winter,2011,Sep,No,Tue,Yes,Moderate,26.0,29.0,89.0,8.0,477,3643,4120,27
271,2011-09-28,winter,2011,Sep,No,Wed,Yes,Moderate,26.0,29.0,85.0,10.0,480,3427,3907,28
272,2011-09-29,winter,2011,Sep,No,Thr,Yes,Normal,25.0,29.0,70.0,12.0,653,4186,4839,29
273,2011-09-30,winter,2011,Sep,No,Fri,Yes,Normal,23.0,27.0,65.0,14.0,830,4372,5202,30
274,2011-10-01,winter,2011,Oct,No,Sat,No,Moderate,17.0,21.0,75.0,20.0,480,1949,2429,01
275,2011-10-02,winter,2011,Oct,No,Sun,No,Moderate,15.0,17.0,79.0,15.0,616,2302,2918,02
276,2011-10-03,winter,2011,Oct,No,Mon,Yes,Moderate,16.0,20.0,76.0,6.0,330,3240,3570,03
277,2011-10-04,winter,2011,Oct,No,Tue,Yes,Normal,20.0,24.0,71.0,14.0,486,3970,4456,04
278,2011-10-05,winter,2011,Oct,No,Wed,Yes,Normal,22.0,26.0,65.0,12.0,559,4267,4826,05
279,2011-10-06,winter,2011,Oct,No,Thr,Yes,Normal,20.0,24.0,62.0,9.0,639,4126,4765,06
280,2011-10-07,winter,2011,Oct,No,Fri,Yes,Normal,21.0,25.0,68.0,2.0,949,4036,4985,07
281,2011-10-08,winter,2011,Oct,No,Sat,No,Normal,21.0,26.0,70.0,3.0,2235,3174,5409,08
282,2011-10-09,winter,2011,Oct,No,Sun,No,Normal,22.0,26.0,73.0,4.0,2397,3114,5511,09
283,2011-10-10,winter,2011,Oct,Yes,Mon,No,Normal,23.0,27.0,73.0,3.0,1514,3603,5117,10
284,2011-10-11,winter,2011,Oct,No,Tue,Yes,Moderate,23.0,27.0,81.0,10.0,667,3896,4563,11
285,2011-10-12,winter,2011,Oct,No,Wed,Yes,Caution,22.0,26.0,91.0,17.0,217,2199,2416,12
286,2011-10-13,winter,2011,Oct,No,Thr,Yes,Moderate,24.0,28.0,90.0,9.0,290,2623,2913,13
287,2011-10-14,winter,2011,Oct,No,Fri,Yes,Moderate,23.0,26.0,72.0,15.0,529,3115,3644,14
288,2011-10-15,winter,2011,Oct,No,Sat,No,Normal,21.0,25.0,48.0,17.0,1899,3318,5217,15
289,2011-10-16,winter,2011,Oct,No,Sun,No,Normal,21.0,25.0,49.0,19.0,1748,3293,5041,16
290,2011-10-17,winter,2011,Oct,No,Mon,Yes,Normal,22.0,26.0,58.0,12.0,713,3857,4570,17
291,2011-10-18,winter,2011,Oct,No,Tue,Yes,Moderate,22.0,26.0,70.0,7.0,637,4111,4748,18
292,2011-10-19,winter,2011,Oct,No,Wed,Yes,Caution,22.0,26.0,90.0,16.0,254,2170,2424,19
293,2011-10-20,winter,2011,Oct,No,Thr,Yes,Normal,20.0,23.0,64.0,26.0,471,3724,4195,20
294,2011-10-21,winter,2011,Oct,No,Fri,Yes,Normal,18.0,21.0,57.0,15.0,676,3628,4304,21
295,2011-10-22,winter,2011,Oct,No,Sat,No,Normal,17.0,21.0,63.0,6.0,1499,2809,4308,22
296,2011-10-23,winter,2011,Oct,No,Sun,No,Normal,17.0,21.0,74.0,7.0,1619,2762,4381,23
297,2011-10-24,winter,2011,Oct,No,Mon,Yes,Normal,19.0,23.0,77.0,8.0,699,3488,4187,24
298,2011-10-25,winter,2011,Oct,No,Tue,Yes,Normal,19.0,23.0,62.0,11.0,695,3992,4687,25
299,2011-10-26,winter,2011,Oct,No,Wed,Yes,Moderate,20.0,24.0,72.0,10.0,404,3490,3894,26
300,2011-10-27,winter,2011,Oct,No,Thr,Yes,Moderate,19.0,23.0,81.0,13.0,240,2419,2659,27
301,2011-10-28,winter,2011,Oct,No,Fri,Yes,Moderate,14.0,16.0,59.0,15.0,456,3291,3747,28
302,2011-10-29,winter,2011,Oct,No,Sat,No,Caution,10.0,11.0,88.0,24.0,57,570,627,29
303,2011-10-30,winter,2011,Oct,No,Sun,No,Normal,13.0,16.0,62.0,12.0,885,2446,3331,30
304,2011-10-31,winter,2011,Oct,No,Mon,Yes,Normal,14.0,18.0,70.0,7.0,362,3307,3669,31
305,2011-11-01,winter,2011,Nov,No,Tue,Yes,Normal,16.0,20.0,68.0,9.0,410,3658,4068,01
306,2011-11-02,winter,2011,Nov,No,Wed,Yes,Normal,15.0,20.0,72.0,6.0,370,3816,4186,02
307,2011-11-03,winter,2011,Nov,No,Thr,Yes,Normal,17.0,20.0,70.0,9.0,318,3656,3974,03
308,2011-11-04,winter,2011,Nov,No,Fri,Yes,Moderate,17.0,20.0,62.0,18.0,470,3576,4046,04
309,2011-11-05,winter,2011,Nov,No,Sat,No,Normal,13.0,16.0,52.0,13.0,1156,2770,3926,05
310,2011-11-06,winter,2011,Nov,No,Sun,No,Normal,14.0,18.0,73.0,6.0,952,2697,3649,06
311,2011-11-07,winter,2011,Nov,No,Mon,Yes,Normal,16.0,20.0,76.0,4.0,373,3662,4035,07
312,2011-11-08,winter,2011,Nov,No,Tue,Yes,Normal,17.0,21.0,72.0,5.0,376,3829,4205,08
313,2011-11-09,winter,2011,Nov,No,Wed,Yes,Normal,16.0,20.0,76.0,4.0,305,3804,4109,09
314,2011-11-10,winter,2011,Nov,No,Thr,Yes,Moderate,16.0,19.0,81.0,13.0,190,2743,2933,10
315,2011-11-11,winter,2011,Nov,Yes,Fri,No,Normal,13.0,15.0,45.0,21.0,440,2928,3368,11
316,2011-11-12,winter,2011,Nov,No,Sat,No,Normal,15.0,18.0,55.0,14.0,1275,2792,4067,12
317,2011-11-13,winter,2011,Nov,No,Sun,No,Normal,18.0,22.0,46.0,19.0,1004,2713,3717,13
318,2011-11-14,winter,2011,Nov,No,Mon,Yes,Normal,22.0,26.0,59.0,21.0,595,3891,4486,14
319,2011-11-15,winter,2011,Nov,No,Tue,Yes,Moderate,22.0,25.0,69.0,13.0,449,3746,4195,15
320,2011-11-16,winter,2011,Nov,No,Wed,Yes,Caution,19.0,23.0,93.0,9.0,145,1672,1817,16
321,2011-11-17,winter,2011,Nov,No,Thr,Yes,Moderate,14.0,16.0,58.0,20.0,139,2914,3053,17
322,2011-11-18,winter,2011,Nov,No,Fri,Yes,Normal,11.0,14.0,41.0,11.0,245,3147,3392,18
323,2011-11-19,winter,2011,Nov,No,Sat,No,Normal,13.0,16.0,50.0,15.0,943,2720,3663,19
324,2011-11-20,winter,2011,Nov,No,Sun,No,Moderate,19.0,23.0,68.0,12.0,787,2733,3520,20
325,2011-11-21,winter,2011,Nov,No,Mon,Yes,Caution,18.0,22.0,91.0,9.0,220,2545,2765,21
326,2011-11-22,winter,2011,Nov,No,Tue,Yes,Caution,17.0,21.0,96.0,8.0,69,1538,1607,22
327,2011-11-23,winter,2011,Nov,No,Wed,Yes,Moderate,18.0,22.0,76.0,23.0,112,2454,2566,23
328,2011-11-24,winter,2011,Nov,Yes,Thr,No,Normal,15.0,19.0,55.0,11.0,560,935,1495,24
329,2011-11-25,winter,2011,Nov,No,Fri,Yes,Normal,15.0,19.0,64.0,7.0,1095,1697,2792,25
330,2011-11-26,winter,2011,Nov,No,Sat,No,Normal,15.0,19.0,68.0,5.0,1249,1819,3068,26
331,2011-11-27,winter,2011,Nov,No,Sun,No,Normal,19.0,23.0,70.0,14.0,810,2261,3071,27
332,2011-11-28,winter,2011,Nov,No,Mon,Yes,Normal,21.0,25.0,74.0,10.0,253,3614,3867,28
333,2011-11-29,winter,2011,Nov,No,Tue,Yes,Moderate,19.0,23.0,83.0,17.0,96,2818,2914,29
334,2011-11-30,winter,2011,Nov,No,Wed,Yes,Normal,13.0,16.0,61.0,18.0,188,3425,3613,30
335,2011-12-01,winter,2011,Dec,No,Thr,Yes,Normal,13.0,15.0,52.0,15.0,182,3545,3727,01
336,2011-12-02,winter,2011,Dec,No,Fri,Yes,Normal,13.0,17.0,63.0,7.0,268,3672,3940,02
337,2011-12-03,winter,2011,Dec,No,Sat,No,Normal,12.0,16.0,61.0,6.0,706,2908,3614,03
338,2011-12-04,winter,2011,Dec,No,Sun,No,Normal,14.0,17.0,78.0,6.0,634,2851,3485,04
339,2011-12-05,winter,2011,Dec,No,Mon,Yes,Moderate,16.0,20.0,83.0,4.0,233,3578,3811,05
340,2011-12-06,winter,2011,Dec,No,Tue,Yes,Caution,19.0,23.0,95.0,16.0,126,2468,2594,06
341,2011-12-07,winter,2011,Dec,No,Wed,Yes,Caution,17.0,20.0,97.0,18.0,50,655,705,07
342,2011-12-08,winter,2011,Dec,No,Thr,Yes,Normal,11.0,13.0,58.0,16.0,150,3172,3322,08
343,2011-12-09,winter,2011,Dec,No,Fri,Yes,Normal,12.0,16.0,70.0,6.0,261,3359,3620,09
344,2011-12-10,winter,2011,Dec,No,Sat,No,Normal,11.0,13.0,51.0,16.0,502,2688,3190,10
345,2011-12-11,winter,2011,Dec,No,Sun,No,Normal,9.0,13.0,49.0,4.0,377,2366,2743,11
346,2011-12-12,winter,2011,Dec,No,Mon,Yes,Normal,10.0,14.0,67.0,4.0,143,3167,3310,12
347,2011-12-13,winter,2011,Dec,No,Tue,Yes,Normal,12.0,15.0,59.0,9.0,155,3368,3523,13
348,2011-12-14,winter,2011,Dec,No,Wed,Yes,Moderate,13.0,17.0,66.0,4.0,178,3562,3740,14
349,2011-12-15,winter,2011,Dec,No,Thr,Yes,Moderate,17.0,21.0,63.0,18.0,181,3528,3709,15
350,2011-12-16,winter,2011,Dec,No,Fri,Yes,Moderate,15.0,18.0,50.0,17.0,178,3399,3577,16
351,2011-12-17,winter,2011,Dec,No,Sat,No,Moderate,11.0,12.0,56.0,16.0,275,2464,2739,17
352,2011-12-18,winter,2011,Dec,No,Sun,No,Normal,10.0,12.0,59.0,11.0,220,2211,2431,18
353,2011-12-19,winter,2011,Dec,No,Mon,Yes,Normal,11.0,14.0,64.0,12.0,260,3143,3403,19
354,2011-12-20,winter,2011,Dec,No,Tue,Yes,Moderate,16.0,20.0,60.0,4.0,216,3534,3750,20
355,2011-12-21,springer,2011,Dec,No,Wed,Yes,Moderate,18.0,21.0,86.0,15.0,107,2553,2660,21
356,2011-12-22,springer,2011,Dec,No,Thr,Yes,Moderate,17.0,21.0,76.0,3.0,227,2841,3068,22
357,2011-12-23,springer,2011,Dec,No,Fri,Yes,Normal,15.0,19.0,69.0,18.0,163,2046,2209,23
358,2011-12-24,springer,2011,Dec,No,Sat,No,Normal,12.0,15.0,54.0,13.0,155,856,1011,24
359,2011-12-25,springer,2011,Dec,No,Sun,No,Normal,11.0,14.0,68.0,10.0,303,451,754,25
360,2011-12-26,springer,2011,Dec,Yes,Mon,No,Normal,13.0,16.0,51.0,16.0,430,887,1317,26
361,2011-12-27,springer,2011,Dec,No,Tue,Yes,Moderate,13.0,16.0,76.0,13.0,103,1059,1162,27
362,2011-12-28,springer,2011,Dec,No,Wed,Yes,Normal,12.0,14.0,50.0,20.0,255,2047,2302,28
363,2011-12-29,springer,2011,Dec,No,Thr,Yes,Normal,10.0,13.0,57.0,8.0,254,2169,2423,29
364,2011-12-30,springer,2011,Dec,No,Fri,Yes,Normal,13.0,16.0,64.0,9.0,491,2508,2999,30
365,2011-12-31,springer,2011,Dec,No,Sat,No,Normal,17.0,21.0,62.0,15.0,665,1820,2485,31
366,2012-01-01,springer,2012,Jan,No,Sun,No,Normal,15.0,19.0,69.0,13.0,686,1608,2294,01
367,2012-01-02,springer,2012,Jan,Yes,Mon,No,Normal,11.0,13.0,38.0,22.0,244,1707,1951,02
368,2012-01-03,springer,2012,Jan,No,Tue,Yes,Normal,6.0,6.0,44.0,24.0,89,2147,2236,03
369,2012-01-04,springer,2012,Jan,No,Wed,Yes,Moderate,4.0,6.0,41.0,12.0,95,2273,2368,04
370,2012-01-05,springer,2012,Jan,No,Thr,Yes,Normal,11.0,14.0,52.0,9.0,140,3132,3272,05
371,2012-01-06,springer,2012,Jan,No,Fri,Yes,Normal,14.0,17.0,54.0,11.0,307,3791,4098,06
372,2012-01-07,springer,2012,Jan,No,Sat,No,Normal,16.0,20.0,53.0,12.0,1070,3451,4521,07
373,2012-01-08,springer,2012,Jan,No,Sun,No,Normal,14.0,17.0,46.0,13.0,599,2826,3425,08
374,2012-01-09,springer,2012,Jan,No,Mon,Yes,Moderate,9.0,12.0,70.0,7.0,106,2270,2376,09
375,2012-01-10,springer,2012,Jan,No,Tue,Yes,Normal,13.0,16.0,65.0,13.0,173,3425,3598,10
376,2012-01-11,springer,2012,Jan,No,Wed,Yes,Moderate,11.0,14.0,85.0,9.0,92,2085,2177,11
377,2012-01-12,springer,2012,Jan,No,Thr,Yes,Moderate,16.0,19.0,80.0,12.0,269,3828,4097,12
378,2012-01-13,springer,2012,Jan,No,Fri,Yes,Normal,11.0,12.0,51.0,25.0,174,3040,3214,13
379,2012-01-14,springer,2012,Jan,No,Sat,No,Normal,7.0,9.0,46.0,13.0,333,2160,2493,14
380,2012-01-15,springer,2012,Jan,No,Sun,No,Normal,7.0,8.0,42.0,17.0,284,2027,2311,15
381,2012-01-16,springer,2012,Jan,Yes,Mon,No,Normal,8.0,10.0,52.0,16.0,217,2081,2298,16
382,2012-01-17,springer,2012,Jan,No,Tue,Yes,Moderate,15.0,18.0,72.0,23.0,127,2808,2935,17
383,2012-01-18,springer,2012,Jan,No,Wed,Yes,Normal,12.0,14.0,44.0,26.0,109,3267,3376,18
384,2012-01-19,springer,2012,Jan,No,Thr,Yes,Normal,8.0,10.0,50.0,15.0,130,3162,3292,19
385,2012-01-20,springer,2012,Jan,No,Fri,Yes,Moderate,9.0,11.0,45.0,14.0,115,3048,3163,20
386,2012-01-21,springer,2012,Jan,No,Sat,No,Moderate,7.0,9.0,83.0,15.0,67,1234,1301,21
387,2012-01-22,springer,2012,Jan,No,Sun,No,Moderate,7.0,8.0,80.0,13.0,196,1781,1977,22
388,2012-01-23,springer,2012,Jan,No,Mon,Yes,Moderate,9.0,12.0,91.0,7.0,145,2287,2432,23
389,2012-01-24,springer,2012,Jan,No,Tue,Yes,Normal,14.0,17.0,84.0,8.0,439,3900,4339,24
390,2012-01-25,springer,2012,Jan,No,Wed,Yes,Normal,12.0,15.0,64.0,11.0,467,3803,4270,25
391,2012-01-26,springer,2012,Jan,No,Thr,Yes,Moderate,14.0,18.0,77.0,5.0,244,3831,4075,26
392,2012-01-27,springer,2012,Jan,No,Fri,Yes,Moderate,17.0,21.0,74.0,23.0,269,3187,3456,27
393,2012-01-28,springer,2012,Jan,No,Sat,No,Normal,13.0,16.0,54.0,14.0,775,3248,4023,28
394,2012-01-29,springer,2012,Jan,No,Sun,No,Normal,12.0,14.0,31.0,16.0,558,2685,3243,29
395,2012-01-30,springer,2012,Jan,No,Mon,Yes,Normal,11.0,13.0,40.0,14.0,126,3498,3624,30
396,2012-01-31,springer,2012,Jan,No,Tue,Yes,Normal,16.0,19.0,42.0,18.0,324,4185,4509,31
397,2012-02-01,springer,2012,Feb,No,Wed,Yes,Normal,19.0,23.0,51.0,13.0,304,4275,4579,01
398,2012-02-02,springer,2012,Feb,No,Thr,Yes,Moderate,16.0,20.0,67.0,13.0,190,3571,3761,02
399,2012-02-03,springer,2012,Feb,No,Fri,Yes,Normal,13.0,15.0,53.0,12.0,310,3841,4151,03
400,2012-02-04,springer,2012,Feb,No,Sat,No,Moderate,11.0,14.0,78.0,8.0,384,2448,2832,04
401,2012-02-05,springer,2012,Feb,No,Sun,No,Moderate,11.0,13.0,69.0,12.0,318,2629,2947,05
402,2012-02-06,springer,2012,Feb,No,Mon,Yes,Normal,12.0,15.0,62.0,10.0,206,3578,3784,06
403,2012-02-07,springer,2012,Feb,No,Tue,Yes,Normal,15.0,18.0,50.0,10.0,199,4176,4375,07
404,2012-02-08,springer,2012,Feb,No,Wed,Yes,Moderate,11.0,13.0,72.0,9.0,109,2693,2802,08
405,2012-02-09,springer,2012,Feb,No,Thr,Yes,Normal,11.0,13.0,56.0,13.0,163,3667,3830,09
406,2012-02-10,springer,2012,Feb,No,Fri,Yes,Moderate,12.0,15.0,54.0,8.0,227,3604,3831,10
407,2012-02-11,springer,2012,Feb,No,Sat,No,Caution,9.0,11.0,73.0,19.0,192,1977,2169,11
408,2012-02-12,springer,2012,Feb,No,Sun,No,Normal,5.0,5.0,46.0,26.0,73,1456,1529,12
409,2012-02-13,springer,2012,Feb,No,Mon,Yes,Normal,9.0,11.0,41.0,11.0,94,3328,3422,13
410,2012-02-14,springer,2012,Feb,No,Tue,Yes,Moderate,13.0,17.0,51.0,9.0,135,3787,3922,14
411,2012-02-15,springer,2012,Feb,No,Wed,Yes,Normal,14.0,18.0,53.0,12.0,141,4028,4169,15
412,2012-02-16,springer,2012,Feb,No,Thr,Yes,Moderate,13.0,17.0,75.0,6.0,74,2931,3005,16
413,2012-02-17,springer,2012,Feb,No,Fri,Yes,Normal,14.0,18.0,63.0,14.0,349,3805,4154,17
414,2012-02-18,springer,2012,Feb,No,Sat,No,Normal,14.0,18.0,53.0,13.0,1435,2883,4318,18
415,2012-02-19,springer,2012,Feb,No,Sun,No,Moderate,11.0,13.0,52.0,17.0,618,2071,2689,19
416,2012-02-20,springer,2012,Feb,Yes,Mon,No,Normal,11.0,14.0,51.0,15.0,502,2627,3129,20
417,2012-02-21,springer,2012,Feb,No,Tue,Yes,Normal,12.0,15.0,59.0,14.0,163,3614,3777,21
418,2012-02-22,springer,2012,Feb,No,Wed,Yes,Normal,16.0,20.0,57.0,16.0,394,4379,4773,22
419,2012-02-23,springer,2012,Feb,No,Thr,Yes,Normal,19.0,22.0,55.0,13.0,516,4546,5062,23
420,2012-02-24,springer,2012,Feb,No,Fri,Yes,Moderate,17.0,21.0,74.0,16.0,246,3241,3487,24
421,2012-02-25,springer,2012,Feb,No,Sat,No,Normal,12.0,13.0,40.0,26.0,317,2415,2732,25
422,2012-02-26,springer,2012,Feb,No,Sun,No,Normal,11.0,13.0,41.0,14.0,515,2874,3389,26
423,2012-02-27,springer,2012,Feb,No,Mon,Yes,Normal,15.0,18.0,49.0,18.0,253,4069,4322,27
424,2012-02-28,springer,2012,Feb,No,Tue,Yes,Normal,15.0,18.0,40.0,13.0,229,4134,4363,28
425,2012-02-29,springer,2012,Feb,No,Wed,Yes,Moderate,14.0,17.0,80.0,12.0,65,1769,1834,29
426,2012-03-01,springer,2012,Mar,No,Thr,Yes,Normal,20.0,24.0,62.0,15.0,325,4665,4990,01
427,2012-03-02,springer,2012,Mar,No,Fri,Yes,Moderate,14.0,18.0,66.0,10.0,246,2948,3194,02
428,2012-03-03,springer,2012,Mar,No,Sat,No,Moderate,17.0,21.0,62.0,11.0,956,3110,4066,03
429,2012-03-04,springer,2012,Mar,No,Sun,No,Normal,13.0,15.0,40.0,22.0,710,2713,3423,04
430,2012-03-05,springer,2012,Mar,No,Mon,Yes,Normal,10.0,12.0,51.0,15.0,203,3130,3333,05
431,2012-03-06,springer,2012,Mar,No,Tue,Yes,Normal,11.0,13.0,46.0,13.0,221,3735,3956,06
432,2012-03-07,springer,2012,Mar,No,Wed,Yes,Normal,17.0,19.0,51.0,23.0,432,4484,4916,07
433,2012-03-08,springer,2012,Mar,No,Thr,Yes,Normal,22.0,26.0,57.0,26.0,486,4896,5382,08
434,2012-03-09,springer,2012,Mar,No,Fri,Yes,Moderate,17.0,20.0,41.0,26.0,447,4122,4569,09
435,2012-03-10,springer,2012,Mar,No,Sat,No,Normal,12.0,14.0,35.0,15.0,968,3150,4118,10
436,2012-03-11,springer,2012,Mar,No,Sun,No,Normal,15.0,18.0,48.0,15.0,1658,3253,4911,11
437,2012-03-12,springer,2012,Mar,No,Mon,Yes,Normal,19.0,23.0,49.0,14.0,838,4460,5298,12
438,2012-03-13,springer,2012,Mar,No,Tue,Yes,Normal,23.0,27.0,62.0,16.0,762,5085,5847,13
439,2012-03-14,springer,2012,Mar,No,Wed,Yes,Normal,23.0,27.0,51.0,8.0,997,5315,6312,14
440,2012-03-15,springer,2012,Mar,No,Thr,Yes,Normal,23.0,27.0,58.0,10.0,1005,5187,6192,15
441,2012-03-16,springer,2012,Mar,No,Fri,Yes,Moderate,18.0,22.0,84.0,8.0,548,3830,4378,16
442,2012-03-17,springer,2012,Mar,No,Sat,No,Moderate,21.0,25.0,76.0,7.0,3155,4681,7836,17
443,2012-03-18,springer,2012,Mar,No,Sun,No,Moderate,19.0,23.0,81.0,9.0,2207,3685,5892,18
444,2012-03-19,springer,2012,Mar,No,Mon,Yes,Normal,22.0,27.0,73.0,11.0,982,5171,6153,19
445,2012-03-20,springer,2012,Mar,No,Tue,Yes,Normal,23.0,27.0,81.0,8.0,1051,5042,6093,20
446,2012-03-21,summer,2012,Mar,No,Wed,Yes,Moderate,22.0,26.0,82.0,6.0,1122,5108,6230,21
447,2012-03-22,summer,2012,Mar,No,Thr,Yes,Normal,23.0,27.0,83.0,8.0,1334,5537,6871,22
448,2012-03-23,summer,2012,Mar,No,Fri,Yes,Moderate,25.0,29.0,69.0,8.0,2469,5893,8362,23
449,2012-03-24,summer,2012,Mar,No,Sat,No,Moderate,21.0,24.0,89.0,13.0,1033,2339,3372,24
450,2012-03-25,summer,2012,Mar,No,Sun,No,Moderate,18.0,22.0,88.0,15.0,1532,3464,4996,25
451,2012-03-26,summer,2012,Mar,No,Mon,Yes,Normal,18.0,22.0,48.0,26.0,795,4763,5558,26
452,2012-03-27,summer,2012,Mar,No,Tue,Yes,Normal,13.0,16.0,29.0,13.0,531,4571,5102,27
453,2012-03-28,summer,2012,Mar,No,Wed,Yes,Normal,20.0,24.0,48.0,20.0,674,5024,5698,28
454,2012-03-29,summer,2012,Mar,No,Thr,Yes,Normal,20.0,24.0,44.0,21.0,834,5299,6133,29
455,2012-03-30,summer,2012,Mar,No,Fri,Yes,Moderate,15.0,19.0,58.0,9.0,796,4663,5459,30
456,2012-03-31,summer,2012,Mar,No,Sat,No,Moderate,17.0,21.0,74.0,17.0,2301,3934,6235,31
457,2012-04-01,summer,2012,Apr,No,Sun,No,Moderate,17.0,21.0,68.0,12.0,2347,3694,6041,01
458,2012-04-02,summer,2012,Apr,No,Mon,Yes,Normal,18.0,21.0,50.0,21.0,1208,4728,5936,02
459,2012-04-03,summer,2012,Apr,No,Tue,Yes,Normal,19.0,23.0,40.0,7.0,1348,5424,6772,03
460,2012-04-04,summer,2012,Apr,No,Wed,Yes,Normal,22.0,27.0,47.0,12.0,1058,5378,6436,04
461,2012-04-05,summer,2012,Apr,No,Thr,Yes,Normal,18.0,22.0,37.0,15.0,1192,5265,6457,05
462,2012-04-06,summer,2012,Apr,No,Fri,Yes,Normal,17.0,20.0,38.0,20.0,1807,4653,6460,06
463,2012-04-07,summer,2012,Apr,No,Sat,No,Normal,18.0,21.0,25.0,18.0,3252,3605,6857,07
464,2012-04-08,summer,2012,Apr,No,Sun,No,Normal,20.0,25.0,28.0,16.0,2230,2939,5169,08
465,2012-04-09,summer,2012,Apr,No,Mon,Yes,Normal,20.0,24.0,32.0,24.0,905,4680,5585,09
466,2012-04-10,summer,2012,Apr,No,Tue,Yes,Normal,18.0,22.0,44.0,17.0,819,5099,5918,10
467,2012-04-11,summer,2012,Apr,No,Wed,Yes,Normal,14.0,17.0,47.0,20.0,482,4380,4862,11
468,2012-04-12,summer,2012,Apr,No,Thr,Yes,Normal,16.0,19.0,47.0,19.0,663,4746,5409,12
469,2012-04-13,summer,2012,Apr,No,Fri,Yes,Normal,18.0,22.0,41.0,10.0,1252,5146,6398,13
470,2012-04-14,summer,2012,Apr,No,Sat,No,Normal,20.0,24.0,50.0,13.0,2795,4665,7460,14
471,2012-04-15,summer,2012,Apr,No,Sun,No,Normal,25.0,29.0,51.0,15.0,2846,4286,7132,15
472,2012-04-16,summer,2012,Apr,Yes,Mon,No,Normal,27.0,31.0,56.0,19.0,1198,5172,6370,16
